# source_id	kind	status	crystal_refs	notes
src/bwrap.rs::test::full_disk_write_full_network_returns_unwrapped_command	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap full filesystem parity in progress
src/bwrap.rs::test::full_disk_write_proxy_only_keeps_full_filesystem_but_unshares_network	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap full filesystem parity in progress
src/bwrap.rs::test::mounts_dev_before_writable_dev_binds	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap filesystem argument parity in progress
src/bwrap.rs::test::restricted_read_only_uses_scoped_read_roots_instead_of_erroring	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap filesystem argument parity in progress
src/bwrap.rs::test::restricted_read_only_with_platform_defaults_includes_usr_when_present	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap filesystem argument parity in progress
src/bwrap.rs::test::split_policy_masks_root_read_directory_carveouts	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap filesystem argument parity in progress
src/bwrap.rs::test::split_policy_masks_root_read_file_carveouts	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap filesystem argument parity in progress
src/bwrap.rs::test::split_policy_reapplies_unreadable_carveouts_after_writable_binds	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux bwrap filesystem argument parity in progress
src/landlock.rs::test::full_network_policy_without_managed_network_skips_seccomp	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux seccomp decision parity in progress
src/landlock.rs::test::full_network_without_managed_proxy_skips_network_seccomp_mode	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux seccomp decision parity in progress
src/landlock.rs::test::managed_network_enforces_seccomp_even_for_full_network_policy	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux seccomp decision parity in progress
src/landlock.rs::test::managed_proxy_routes_use_proxy_routed_seccomp_mode	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux seccomp decision parity in progress
src/landlock.rs::test::restricted_network_policy_always_installs_seccomp	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux seccomp decision parity in progress
src/landlock.rs::test::restricted_network_without_proxy_routing_uses_restricted_mode	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux seccomp decision parity in progress
src/lib.rs::func::run_main	func	ported	src/sandbox/sandboxing.cr;src/sandbox/sandboxing/linux_sandbox.cr;src/sandbox/sandboxing/windows_sandbox.cr;src/sandbox/sandboxing/macos_seatbelt.cr;spec/sandbox_spec.cr	sandbox run_main parity ported
src/linux_run_main.rs::func::run_main	func	ported	src/sandbox/sandboxing.cr;src/sandbox/sandboxing/linux_sandbox.cr;src/sandbox/sandboxing/windows_sandbox.cr;src/sandbox/sandboxing/macos_seatbelt.cr;spec/sandbox_spec.cr	linux run_main parity ported
src/linux_run_main.rs::struct::LandlockCommand	struct	ported	src/sandbox/sandboxing.cr;src/sandbox/sandboxing/linux_sandbox.cr;src/sandbox/sandboxing/windows_sandbox.cr;src/sandbox/sandboxing/macos_seatbelt.cr;spec/sandbox_spec.cr	linux run_main command model parity ported
src/linux_run_main_tests.rs::test::apply_seccomp_then_exec_without_bwrap_panics	test	ported	src/sandbox/sandboxing/linux_sandbox.cr;spec/sandbox_spec.cr	linux run_main parity in progress
