# source_id	kind	status	crystal_refs	notes
src/acl.rs::func::path_mask_allows	func	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows path mask helper parity ported
src/allow.rs::func::compute_allow_paths	func	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::struct::AllowDenyPaths	struct	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::test::denies_codex_and_agents_inside_writable_root	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::test::denies_git_dir_inside_writable_root	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::test::denies_git_file_inside_writable_root	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::test::excludes_tmp_env_vars_when_requested	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::test::includes_additional_writable_roots	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/allow.rs::test::skips_protected_subdirs_when_missing	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows allow/deny path parity ported
src/audit.rs::func::apply_capability_denies_for_world_writable	func	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows audit parity ported
src/audit.rs::func::apply_world_writable_scan_and_denies	func	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows audit scan/apply orchestration parity ported
src/audit.rs::func::audit_everyone_writable	func	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows audit world-writable scan parity ported
src/audit.rs::test::gathers_path_entries_by_list_separator	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows audit candidate path parsing parity ported
src/cap.rs::func::cap_sid_file	func	ported	src/sandbox/sandboxing/windows_sandbox.cr	windows cap sid persistence parity ported
src/cap.rs::func::load_or_create_cap_sids	func	ported	src/sandbox/sandboxing/windows_sandbox.cr	windows cap sid persistence parity ported
src/cap.rs::func::workspace_cap_sid_for_cwd	func	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows workspace capability sid keying parity ported
src/cap.rs::struct::CapSids	struct	ported	src/sandbox/sandboxing/windows_sandbox.cr	windows cap sid persistence parity ported
src/cap.rs::test::equivalent_cwd_spellings_share_workspace_sid_key	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows workspace capability sid keying parity ported
src/command_runner_win.rs::func::main	func	ported	src/sandbox/sandboxing/windows_sandbox.cr	windows command runner helper parity ported
src/command_runner_win.rs::test::removes_request_file_after_read	test	ported	src/sandbox/sandboxing/windows_sandbox.cr;spec/sandbox_spec.cr	windows command runner request file parity ported
